Location,Elevation (m),Elevation (ft)
World,840.0,2756
Afghanistan,1884.0,6181
Albania,708.0,2323
Algeria,800.0,2625
Andorra,1996.0,6549
Angola,1112.0,3648
Antarctica,2300.0,7546
Argentina,595.0,1952
Armenia,1792.0,5879
Australia,330.0,1083
Austria,910.0,2986
Azerbaijan,384.0,1260
Bangladesh,85.0,279
Belarus,160.0,525
Belgium,181.0,594
Belize,173.0,568
Benin,273.0,896
Bhutan,3280.0,10761
Bolivia,1192.0,3911
Bosnia and Herzegovina,500.0,1640
Botswana,1013.0,3323
Brazil,320.0,1050
Brunei,478.0,1568
Bulgaria,472.0,1549
Burkina Faso,297.0,974
Burundi,1504.0,4934
Cambodia,126.0,413
Cameroon,667.0,2188
Canada,487.0,1598
Central African Republic,635.0,2083
Chad,543.0,1781
Chile,1871.0,6138
China,1840.0,6037
Colombia,593.0,1946
Costa Rica,746.0,2448
Croatia,331.0,1086
Cuba,108.0,354
Cyprus,91.0,299
Czech Republic,430.0,1411
Democratic Republic of the Congo,726.0,2382
Denmark,34.0,112
Djibouti,430.0,1411
Dominican Republic,424.0,1391
Ecuador,1117.0,3665
Egypt,321.0,1053
El Salvador,442.0,1450
Equatorial Guinea,577.0,1893
Eritrea,853.0,2799
Estonia,61.0,200
Eswatini,305.0,1001
Ethiopia,1330.0,4364
Finland,164.0,538
France,375.0,1230
French Guiana,168.0,551
Gabon,377.0,1237
Gambia,34.0,112
Georgia,1432.0,4698
Germany,263.0,863
Ghana,190.0,623
Greece,498.0,1634
Greenland,1792.0,5879
Guatemala,759.0,2490
Guinea,472.0,1549
Guinea-Bissau,70.0,230
Guyana,207.0,679
Haiti,470.0,1542
Honduras,684.0,2244
Hungary,143.0,469
Iceland,557.0,1827
India,621.0,2037
Indonesia,367.0,1204
Iran,1305.0,4281
Iraq,312.0,1024
Ireland,118.0,387
Israel,508.0,1667
Italy,538.0,1765
Ivory Coast,250.0,820
Jamaica,340.0,1115
Japan,438.0,1437
Jordan,812.0,2664
Kazakhstan,387.0,1270
Kenya,762.0,2500
Kiribati,2.0,7
Kosovo,810.0,2657
Kuwait,108.0,354
Kyrgyzstan,2988.0,9803
Laos,710.0,2329
Latvia,87.0,285
Lebanon,1250.0,4101
Lesotho,2161.0,7090
Liberia,243.0,797
Libya,423.0,1388
Lithuania,110.0,361
Luxembourg,325.0,1066
Madagascar,615.0,2018
Malawi,779.0,2556
Malaysia,419.0,1375
Maldives,1.5,5
Mali,343.0,1125
Marshall Islands,2.0,7
Mauritania,276.0,906
Mexico,1111.0,3645
Moldova,139.0,456
Mongolia,1580.0,5184
Montenegro,1086.0,3563
Morocco,909.0,2982
Mozambique,345.0,1132
Myanmar,702.0,2303
Namibia,1141.0,3743
Nepal,3265.0,10712
Netherlands,30.0,98
New Zealand,388.0,1273
Nicaragua,298.0,978
Niger,474.0,1555
Nigeria,380.0,1247
North Korea,440.0,1444
North Macedonia,741.0,2431
Norway,460.0,1509
Oman,310.0,1017
Pakistan,900.0,2953
Panama,360.0,1181
Papua New Guinea,667.0,2188
Paraguay,178.0,584
Peru,1555.0,5102
Philippines,442.0,1450
Poland,173.0,568
Portugal,372.0,1220
Qatar,28.0,92
Republic of the Congo,430.0,1411
Romania,414.0,1358
Russia,600.0,1969
Rwanda,1598.0,5243
Saudi Arabia,665.0,2182
Senegal,69.0,226
Serbia,442.0,1450
Sierra Leone,279.0,915
Singapore,15.0,49
Slovakia,458.0,1503
Slovenia,492.0,1614
Somalia,410.0,1345
South Africa,1034.0,3392
South Korea,282.0,925
Spain,660.0,2165
Sri Lanka,228.0,748
Sudan,568.0,1864
Suriname,246.0,807
Sweden,320.0,1050
Switzerland,1350.0,4429
Syria,514.0,1686
Taiwan,1150.0,3773
Tajikistan,3186.0,10453
Tanzania,1018.0,3340
Thailand,287.0,942
Togo,236.0,774
Trinidad and Tobago,83.0,272
Tunisia,246.0,807
Turkey,1141.0,3743
Turkmenistan,230.0,755
Tuvalu,1.8,6
Uganda,1100.0,3609
Ukraine,175.0,574
United Arab Emirates,149.0,489
United Kingdom,162.0,531
United States,760.0,2493
Uruguay,109.0,358
Uzbekistan,450.0,1476
Venezuela,450.0,1476
Vietnam,398.0,1306
Western Sahara,256.0,840
Yemen,999.0,3278
Zambia,1138.0,3734
Zimbabwe,961.0,3153
